recipe,item1,item2,item3,item4,item5,item6
masala_chai,tea_powder,milk,ginger,,,
lemon_rice,lemon,oil,mustard_seeds,green_chilli,curry_leaves,turmeric_powder
upma,rava_suji,onion,green_chilli,carrot,,
poha,poha,onion,peanuts,lemon,coriander,
aloo_paratha,wheat_flour,potato,green_chilli,coriander,,
veg_pulao,rice,carrot,beans,green_peas,garam_masala,
dal_tadka,toor_dal,tomato,onion,garlic,oil,cumin_seeds
dal_fry,moong_dal,onion,tomato,garlic,oil,
chole_masala,oil,chole,onion,tomato,garam_masala,
rajma_curry,oil,rajma,onion,tomato,garam_masala,
paneer_butter_masala,cream,butter,paneer,tomato,garam_masala,
palak_paneer,spinach,paneer,onion,oil,garlic,
aloo_gobi,potato,cauliflower,onion,tomato,garam_masala,
veg_korma,carrot,beans,potato,coconut,oil,garam_masala
egg_bhurji,eggs,onion,tomato,green_chilli,oil,
omelette,eggs,oil,pepper_powder,salt,,
curd_rice,curd,rice,ginger,pomegranate,,
sambar,toor_dal,tomato,carrot,beans,tamarind,
rasam,tomato,garlic,coriander,salt,tamarind,
fried_rice,rice,carrot,beans,capsicum,oil,
bhindi_fry,lady_finger,onion,oil,turmeric_powder,,
lemonade,lemon,sugar,,,,
jeera_rice,rice,cumin_seeds,oil,onion,,
mango_shake,mango,milk,sugar,,,
banana_smoothie,banana,milk,sugar,,,
friuit_salad,apple,banana,grapes,watermelon,papaya,
aloo_masala,potato,onion,green_chilli,pepper_powder,,
egg_curry,eggs,onion,tomato,oil,garam_masala,
fish_curry,oil,fish,lemon,garlic,red_chilli_powder,
mutton_curry,garam_masala,mutton,onion,tomato,ginger,
chicken_curry,oil,chicken,onion,tomato,garam_masala,pepper_powder
curd_salad,curd,cucumber,carrot,salt,,
panner_bhurji,paneer,tomato,onion,green_chilli,oil,
peanut_chutney,peanuts,garlic,green_chilli,,,
coconut_chutney,coconut,green_chilli,ginger,,,
tomato_chutney,tomato,garlic,red_chilli_powder,oil,,
spinach_soup,spinach,garlic,onion,salt,,
toast,bread,butter,,,,
